protein	strain	araConc	signal
RpoD	DMS2670	0	1762.114258
RpoS	DMS2670	0	40.51708984
RpoD	DMS2670	1.00E-05	1762.49707
RpoS	DMS2670	1.00E-05	57.19726563
RpoD	DMS2670	5.00E-05	1645.855469
RpoS	DMS2670	5.00E-05	208.7495117
RpoD	DMS2670	1.00E-04	1902.991699
RpoS	DMS2670	1.00E-04	478.8886719
RpoD	DMS2670	2.00E-04	1806.265137
RpoS	DMS2670	2.00E-04	831.3071289
RpoD	DMS2670	5.00E-04	1805.116699
RpoS	DMS2670	5.00E-04	976.0239258
RpoD	DMS2670	1.00E-03	1933.318848
RpoS	DMS2670	1.00E-03	898.8364258
RpoD	DMS2670	2.00E-03	2042.883789
RpoS	DMS2670	2.00E-03	7889.538086
RpoD	DMS2670	5.00E-03	2037.444336
RpoS	DMS2670	5.00E-03	5639.95166
RpoD	DMS2670	1.00E-02	1576.640137
RpoS	DMS2670	1.00E-02	5204.110352
RpoD	DMS2537	0.00E+00	2004.013672
RpoS	DMS2537	0.00E+00	2185.683105
RpoD	DMS2537	0.00E+00	1716.241699
RpoS	DMS2537	0.00E+00	2626.197266
RpoD	DMS2537	0.00E+00	1648.824707
RpoS	DMS2537	0.00E+00	2171.937988
RpoD	DMS2537	0.00E+00	1499.331055
RpoS	DMS2537	0.00E+00	1846.362305
