strain	araConc	protein	signal
DMS2670	0	RpoD	3835.864909
DMS2670	0	RpoS	84.51936849
DMS2670	1.00E-05	RpoD	3577.617676
DMS2670	1.00E-05	RpoS	145.3152669
DMS2670	5.00E-05	RpoD	2907.964518
DMS2670	5.00E-05	RpoS	1095.715169
DMS2670	1.00E-04	RpoD	2857.08252
DMS2670	1.00E-04	RpoS	1809.934733
DMS2670	2.00E-04	RpoD	3255.023275
DMS2670	2.00E-04	RpoS	2318.659017
DMS2670	5.00E-04	RpoD	2933.905273
DMS2670	5.00E-04	RpoS	4059.432454
DMS2670	1.00E-03	RpoD	2725.423503
DMS2670	1.00E-03	RpoS	4953.763835
DMS2670	2.00E-03	RpoD	2914.539225
DMS2670	2.00E-03	RpoS	4706.137695
DMS2670	5.00E-03	RpoD	2704.939779
DMS2670	5.00E-03	RpoS	8953.70752
DMS2670	1.00E-02	RpoD	2920.240723
DMS2670	1.00E-02	RpoS	8979.785807
DMS2537	0.00E+00	RpoD	3683.853027
DMS2537	0.00E+00	RpoS	10013.14844
DMS2537	0.00E+00	RpoD	2756.938151
DMS2537	0.00E+00	RpoS	5130.998535
DMS2537	0.00E+00	RpoD	3997.130534
DMS2537	0.00E+00	RpoS	7672.770996
DMS2537	0.00E+00	RpoD	3368.135905
DMS2537	0.00E+00	RpoS	5855.68457
