Geneid	A2537	A0	A10^-5	A5x10-5	A10^-4	A10^-3	A2x10^-3	A5x10^-3	B2537	B0	B10^-5	B5x10-5	B10^-4	B10^-3	B2x10^-3	B5x10^-3	C2537	C0	C10^-5	C5x10-5	C10^-4	C10^-3	C2x10^-3	C5x10^-3
CDS:b0001:thrL:thr_operon_leader_peptide:cds0:+:65:NC_000913.3	3117	2270	3570	4950	1663	5063	4202	3226	7063	759	328	5243	3973	5321	7602	1859	4229	2395	2804	5073	5692	5848	3414	2726
AS_CDS:b0001:thrL:thr_operon_leader_peptide:cds0:+:65:NC_000913.3	0	1	2	0	0	0	1	0	2	0	0	0	0	3	6	8	0	1	1	0	1	1	0	0
IGR:(CDS,b0001,thrL,thr_operon_leader_peptide,cds0,+,65/CDS,b0002,thrA,Bifunctional_aspartokinase2Fhomoserine_dehydrogenase_1,cds1,+,2462):+:2514:NC_000913.3	128	103	208	294	64	324	102	149	392	48	21	305	234	227	143	488	173	86	103	341	326	249	53	70
AS_IGR:(CDS,b0001,thrL,thr_operon_leader_peptide,cds0,+,65/CDS,b0002,thrA,Bifunctional_aspartokinase2Fhomoserine_dehydrogenase_1,cds1,+,2462):+:2514:NC_000913.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0
CDS:b0002:thrA:Bifunctional_aspartokinase2Fhomoserine_dehydrogenase_1:cds1:+:2462:NC_000913.3	718	540	808	1264	182	1482	1723	1373	797	39	46	920	221	1865	2163	5058	1016	227	693	971	1371	1372	1170	792
AS_CDS:b0002:thrA:Bifunctional_aspartokinase2Fhomoserine_dehydrogenase_1:cds1:+:2462:NC_000913.3	10	21	31	41	16	25	28	32	33	8	2	45	21	29	27	34	33	13	18	29	24	21	18	20
CDS:b0003:thrB:homoserine_kinase:cds2:+:932:NC_000913.3	330	483	583	838	89	764	801	701	377	24	28	615	186	976	990	711	548	259	565	684	878	687	521	397
AS_CDS:b0003:thrB:homoserine_kinase:cds2:+:932:NC_000913.3	0	4	7	7	5	5	3	0	9	0	0	1	0	8	1	2	3	1	0	2	3	1	3	5
CDS:b0004:thrC:L-threonine_synthase:cds3:+:1286:NC_000913.3	667	694	835	1426	122	1486	1283	1079	992	59	43	1066	286	1725	1718	1158	943	297	823	1274	1525	1323	858	638
AS_CDS:b0004:thrC:L-threonine_synthase:cds3:+:1286:NC_000913.3	4	7	20	8	3	11	12	10	13	3	0	15	3	22	6	14	11	10	12	8	8	4	8	9
IGR:(CDS,b0004,thrC,L-threonine_synthase,cds3,+,1286/CDS,b0005,yaaX,DUF2502_family_putative_periplasmic_protein,cds4,+,296):+:348:NC_000913.3	42	30	44	75	8	81	40	55	61	3	4	55	15	84	73	217	40	13	36	80	86	72	28	22
AS_IGR:(CDS,b0004,thrC,L-threonine_synthase,cds3,+,1286/CDS,b0005,yaaX,DUF2502_family_putative_periplasmic_protein,cds4,+,296):+:348:NC_000913.3	14	21	33	39	10	19	26	20	30	3	4	39	20	35	32	15	30	16	14	26	30	21	19	11
CDS:b0005:yaaX:DUF2502_family_putative_periplasmic_protein:cds4:+:296:NC_000913.3	41	39	54	86	43	44	53	44	27	9	3	60	34	64	69	194	32	56	47	49	41	62	33	34
AS_CDS:b0005:yaaX:DUF2502_family_putative_periplasmic_protein:cds4:+:296:NC_000913.3	22	21	31	38	6	39	48	25	34	5	2	38	20	52	63	46	41	20	24	32	51	39	31	24
IGR:(CDS,b0005,yaaX,DUF2502_family_putative_periplasmic_protein,cds4,+,296/CDS,b0006,yaaA,peroxide_resistance_protein2C_lowers_intracellular_iron,cds5,-,776):+:828:NC_000913.3	9	10	10	11	4	10	8	9	5	0	1	11	5	8	14	14	5	11	5	10	5	9	9	6
AS_IGR:(CDS,b0005,yaaX,DUF2502_family_putative_periplasmic_protein,cds4,+,296/CDS,b0006,yaaA,peroxide_resistance_protein2C_lowers_intracellular_iron,cds5,-,776):+:828:NC_000913.3	18	22	23	24	11	29	28	17	12	2	2	28	15	27	35	17	31	15	22	20	29	19	17	22
CDS:b0006:yaaA:peroxide_resistance_protein2C_lowers_intracellular_iron:cds5:-:776:NC_000913.3	99	113	118	198	61	162	179	132	129	19	11	149	97	205	199	133	160	77	156	162	144	112	93	116
AS_CDS:b0006:yaaA:peroxide_resistance_protein2C_lowers_intracellular_iron:cds5:-:776:NC_000913.3	12	17	45	37	6	27	36	10	20	11	7	27	13	52	53	55	23	23	34	39	38	18	38	16
IGR:(CDS,b0006,yaaA,peroxide_resistance_protein2C_lowers_intracellular_iron,cds5,-,776/CDS,b0007,yaaJ,putative_transporter,cds6,-,1430):+:1482:NC_000913.3	0	1	1	1	0	1	2	1	1	0	0	1	0	2	1	1	0	1	2	1	2	2	1	1
AS_IGR:(CDS,b0006,yaaA,peroxide_resistance_protein2C_lowers_intracellular_iron,cds5,-,776/CDS,b0007,yaaJ,putative_transporter,cds6,-,1430):+:1482:NC_000913.3	2	0	0	1	0	0	1	0	1	0	0	1	0	1	1	2	1	0	1	1	0	0	0	2
CDS:b0007:yaaJ:putative_transporter:cds6:-:1430:NC_000913.3	208	101	182	307	98	231	255	477	447	40	20	318	163	236	307	454	405	105	237	257	363	246	234	554
