"pvalFDR.Knockout.WildType"	"pvalFDR.Low.WildType"	"pvalFDR.Knockout.Low"	"isDE.KO.WT"	"isDE.LO.WT"	"isDE.KO.LO"	"DEacrossAll"	"DEacrossAny"	"geneid"	"countsKO.ko1"	"countsKO.ko2"	"countsLO.lo1"	"countsLO.lo2"	"countsWT.wt1"	"countsWT.wt2"	"meansKO"	"meansLO"	"meansWT"	"totalExpectedLO"	"totalObservedLO"	"adjusted.pval"	"Observed.is.Less.Than.Expected"	"positiveSlope"	"FDR-adj-pval.KO.WT"	"genename"	"bnum"	"isNonUnique"	"DirectionalSensitivity"	"Sensitivity"
"1"	0.0325657870995592	0.47585437491841	0.65748748231838	TRUE	FALSE	FALSE	FALSE	TRUE	"gene1016"	7	4	12	13	24	30	5.59987608963683	12.5	23.6905680895405	20.4198145135517	25	1	FALSE	TRUE	0.0325657870995592	"cbpM"	"b0999"	FALSE	"isNeitherPos"	"Neither"
"2"	5.42070214530486e-19	0.00467807046132611	0.000628831590095476	TRUE	TRUE	TRUE	TRUE	TRUE	"gene1017"	79	60	322	131	730	545	71.9196632955089	226.5	538.951025896581	383.184687519687	453	1	FALSE	TRUE	5.42070214530486e-19	"cbpA"	"b1000"	FALSE	"isNeitherPos"	"Neither"
"3"	5.9600530873128e-06	0.00273527591496567	0.965109209235954	TRUE	TRUE	FALSE	FALSE	TRUE	"gene1019"	4690	4462	5765	2753	2500	2046	4797.94124737671	4259	1934.4711373917	8033.27279975564	8518	1	FALSE	FALSE	5.9600530873128e-06	"agp"	"b1002"	FALSE	"isNeitherNeg"	"Neither"
"4"	1.72136337304424e-08	0.487578338032536	0.000929503720058239	TRUE	FALSE	TRUE	FALSE	TRUE	"gene1020"	11	4	98	21	130	77	7.45810348179739	59.5	86.0654862028243	55.2854900894575	119	0.019971628685084	FALSE	TRUE	1.72136337304424e-08	"yccJ"	"b1003"	FALSE	"isSensPos"	"Sensitive"
"5"	1.40122205431234e-32	0.757516235813034	0.00129886823949343	TRUE	FALSE	TRUE	FALSE	TRUE	"gene1021"	130	80	2558	428	3623	1463	107.351953312335	1493	2061.03996991906	1219.44842205017	2986	5.47182275926928e-08	FALSE	TRUE	1.40122205431234e-32	"wrbA"	"b1004"	FALSE	"isSensPos"	"Sensitive"
"6"	5.15790938011763e-34	3.72322565641274e-13	3.40568232988206e-05	TRUE	TRUE	TRUE	TRUE	TRUE	"gene1022"	3	3	26	64	1230	581	3.15465415913731	45	741.390938262499	386.649482085847	90	1.3822372246826e-08	TRUE	TRUE	5.15790938011763e-34	"ymdF"	"b4518"	FALSE	"isInsensPos"	"Insensitive"
"7"	4.84064357188761e-05	0.00602376618117718	0.904435362598449	TRUE	TRUE	FALSE	FALSE	TRUE	"gene1023"	10	13	27	11	98	62	12.2764974788079	19	66.8343264934331	52.4425586484634	38	1	TRUE	TRUE	4.84064357188761e-05	"rutG"	"b1006"	FALSE	"isNeitherPos"	"Neither"
"8"	1.93757846477263e-31	7.76170986773977e-11	0.100716737604005	TRUE	TRUE	FALSE	FALSE	TRUE	"gene1031"	873	1175	328	573	53	65	1095.27671088732	450.5	51.6988579772355	1632.93113039444	901	0.0948320589514782	TRUE	FALSE	1.93757846477263e-31	"putA"	"b1014"	FALSE	"isNeitherNeg"	"Neither"
"9"	2.22566383919964e-35	1.22309825560817e-15	0.182537773689718	TRUE	TRUE	FALSE	FALSE	TRUE	"gene1032"	855	1114	432	590	70	44	1051.10802078393	511	47.5975901877665	1566.04168744088	1022	0.375740552646175	TRUE	FALSE	2.22566383919964e-35	"putP"	"b1015"	FALSE	"isNeitherNeg"	"Neither"
"10"	0.0113492234085324	0.101385751178934	0.964481004091844	TRUE	FALSE	FALSE	FALSE	TRUE	"gene1033"	16	15	20	20	55	62	16.2378276437267	20	50.9546938144981	50.0696600935055	40	1	TRUE	TRUE	0.0113492234085324	"efeU"	"b4490"	FALSE	"isNeitherPos"	"Neither"
"11"	0.00483732699090141	0.30835533250257	0.526520575581832	TRUE	FALSE	FALSE	FALSE	TRUE	"gene1035"	46	40	22	24	16	13	44.849396543405	23	12.3339580248948	72.1298717333601	46	1	TRUE	FALSE	0.00483732699090141	"efeB"	"b1019"	FALSE	"isNeitherNeg"	"Neither"
"12"	5.17487489003682e-05	0.0129324120882538	0.960950907935099	TRUE	TRUE	FALSE	FALSE	TRUE	"gene1047"	512	583	760	262	273	241	580.070922048167	511	219.931591734439	964.036364052188	1022	1	FALSE	FALSE	5.17487489003682e-05	"ghrA"	"b1033"	FALSE	"isNeitherNeg"	"Neither"
"13"	1.64300985039422e-05	0.00151576089722233	0.950434024693174	TRUE	TRUE	FALSE	FALSE	TRUE	"gene1054"	21	14	25	21	105	100	17.9736173455884	23	88.2009048792446	71.8074847704814	46	1	TRUE	TRUE	1.64300985039422e-05	"csgD"	"b1040"	FALSE	"isNeitherPos"	"Neither"
"14"	0.00187367058906807	0.644043776687986	0.117748125498779	TRUE	FALSE	FALSE	FALSE	TRUE	"gene1059"	35	28	96	51	149	82	32.6953367548959	73.5	95.5533209662134	97.1863508141904	147	0.582168393862663	FALSE	TRUE	0.00187367058906807	"ymdB"	"b1045"	FALSE	"isNeitherPos"	"Neither"
"15"	0.00320394567501603	0.336431552298799	0.376824532711027	TRUE	FALSE	FALSE	FALSE	TRUE	"gene1060"	43	30	83	51	101	147	37.5857806158949	67	109.953506837113	111.778602195464	134	1	FALSE	TRUE	0.00320394567501603	"clsC"	"b1046"	FALSE	"isNeitherPos"	"Neither"
"16"	1.05002490383033e-16	0.252728145405391	3.31203947416922e-10	TRUE	FALSE	TRUE	FALSE	TRUE	"gene1064"	4	3	156	49	203	185	3.61921100717745	102.5	166.402994629874	91.0517238194733	205	0.000384176484060408	FALSE	TRUE	1.05002490383033e-16	"yceK"	"b1050"	FALSE	"isSensPos"	"Sensitive"
"17"	2.30871603902301e-79	0.00185903047319783	7.65580212345862e-46	TRUE	TRUE	TRUE	TRUE	TRUE	"gene1065"	263	188	5495	3398	16359	8987	232.533424242282	4446.5	10483.1069299821	5742.74688450763	8893	0.033263576883123	FALSE	TRUE	2.30871603902301e-79	"msyB"	"b1051"	FALSE	"isSensPos"	"Sensitive"
"18"	0.00457243712861198	0.0115279500004179	0.999350324250332	TRUE	TRUE	FALSE	FALSE	TRUE	"gene1069"	125	123	153	99	68	60	130.26993422071	126	54.767011843702	219.269283736235	252	1	FALSE	FALSE	0.00457243712861198	"yceI"	"b1056"	FALSE	"isNeitherNeg"	"Neither"
"19"	0.00192249284120417	0.101366133878885	0.881782289930965	TRUE	FALSE	FALSE	FALSE	TRUE	"gene107"	452	263	265	279	229	171	364.359258897291	272	169.085124924283	621.481613770976	544	1	TRUE	FALSE	0.00192249284120417	"ampD"	"b0110"	FALSE	"isNeitherNeg"	"Neither"
"20"	0.000391837805105264	0.0149210828783935	0.946745985461129	TRUE	TRUE	FALSE	FALSE	TRUE	"gene1070"	96	84	105	49	32	33	93.9049986323264	77	28.1276700845884	152.211144686555	154	1	FALSE	FALSE	0.000391837805105264	"yceJ"	"b1057"	FALSE	"isNeitherNeg"	"Neither"
