	wt1	ko1	lo1	hi1	wt2	ko2	lo2	hi2
gene0	0	0	1	0	0	0	0	0
gene1	390	302	287	866	315	232	207	406
gene10	18	12	9	18	3	12	8	2
gene100	120	112	113	206	100	78	68	90
gene1000	0	2	1	1	1	0	0	0
gene1001	0	0	1	0	0	0	3	1
gene1002	1	6	7	4	2	3	4	1
gene1003	1	2	2	7	0	1	1	0
gene1004	108	89	79	109	29	52	56	39
gene1005	20	25	19	25	7	18	10	4
gene1006	132	93	39	366	114	62	78	144
gene1007	16	11	5	55	9	4	5	11
gene1008	0	0	0	0	0	2	1	0
gene1009	4	6	3	7	4	3	3	1
gene101	203	129	159	219	133	105	74	128
gene1010	56	58	38	118	37	64	30	36
gene1011	19	24	22	39	13	19	23	21
gene1012	44	58	58	42	20	31	34	28
gene1013	34	13	7	46	12	10	8	11
gene1014	35	16	18	47	14	20	15	12
gene1015	12	6	6	18	7	3	10	6
gene1016	24	7	12	35	30	4	13	13
gene1017	730	79	322	1242	545	60	131	400
gene1018	15	6	13	14	16	3	6	6
gene1019	2500	4690	5765	3403	2046	4462	2753	1244
gene102	51	71	63	82	45	39	45	47
gene1020	130	11	98	134	77	4	21	62
gene1021	3623	130	2558	3475	1463	80	428	1155
gene1022	1230	3	26	1665	581	3	64	875
gene1023	98	10	27	169	62	13	11	50
gene1024	1	1	1	2	2	0	0	0
gene1025	1	4	1	4	1	2	0	1
gene1026	0	0	1	4	2	0	2	0
gene1027	0	2	2	2	1	0	1	1
gene1028	1	0	2	1	0	1	0	1
gene1029	3	1	10	6	3	5	2	2
gene103	28	39	28	56	17	20	16	22
gene1030	89	107	104	119	53	69	56	56
gene1031	53	873	328	1069	65	1175	573	198
gene1032	70	855	432	224	44	1114	590	65
gene1033	55	16	20	95	62	15	20	34
gene1034	15	4	10	32	9	8	6	13
gene1035	16	46	22	54	13	40	24	16
gene1036	156	168	332	187	121	144	149	143
gene1037	12	18	16	9	8	3	11	2
gene1038	5	6	3	7	1	6	2	1
gene1039	1	6	9	4	4	7	8	5
gene104	7	17	15	17	6	5	8	7
gene1040	26	13	18	43	15	13	9	24
gene1041	11	15	17	9	5	10	13	6
gene1042	0	0	0	0	0	0	0	0
gene1043	0	0	0	0	0	0	0	0
gene1044	1	0	0	0	0	0	0	0
gene1045	6	9	9	8	5	7	3	3
gene1046	1	0	0	1	0	0	0	0
gene1047	273	512	760	446	241	583	262	174
gene1048	276	275	335	415	216	272	179	282
gene1049	66	84	97	110	87	83	61	55
gene105	9	8	3	8	1	6	3	3
gene1050	31	35	17	45	27	19	23	25
gene1051	26	16	10	39	11	8	13	9
gene1052	2	0	0	1	1	0	0	0
gene1053	6	1	2	6	8	2	1	2
gene1054	105	21	25	174	100	14	21	80
gene1055	3	2	4	4	3	2	3	2
gene1056	32	63	60	53	31	29	32	27
gene1057	1	3	1	4	2	1	3	7
gene1058	5	5	8	3	3	1	1	3
gene1059	149	35	96	197	82	28	51	95
gene106	233	189	173	404	159	115	80	159
gene1060	101	43	83	256	147	30	51	92
gene1061	30	21	40	61	13	21	20	26
gene1062	1194	884	1175	2058	915	757	724	834
gene1063	638	342	467	1237	552	358	322	355
gene1064	203	4	156	215	185	3	49	165
gene1065	16359	263	5495	16078	8987	188	3398	7770
gene1066	201	99	112	346	115	77	79	131
gene1067	74	89	75	118	33	62	50	33
gene1068	130	79	85	222	97	71	51	78
gene1069	68	125	153	92	60	123	99	64
gene107	229	452	265	424	171	263	279	257
gene1070	32	96	105	70	33	84	49	25
gene1071	0	1	2	0	0	0	0	0
gene1072	68	129	141	142	89	121	68	37
gene1073	208	157	247	332	106	49	296	143
gene1074	2	10	3	6	3	2	1	1
gene1075	163	68	43	385	152	84	65	95
gene1076	97	69	66	178	60	57	54	66
gene1077	1300	322	624	1253	762	203	363	847
gene1078	2	14	11	20	12	13	12	2
gene1079	49	100	150	83	59	81	60	51
gene108	90	75	67	157	84	100	56	48
gene1080	60	93	154	82	47	97	40	48
gene1081	105	161	221	197	104	162	94	74
gene1082	46	28	24	61	21	12	18	25
gene1083	11	18	22	25	14	10	7	14
gene1084	15	10	21	17	7	9	8	15
gene1085	33	16	18	39	14	14	12	10
gene1086	1	5	3	3	1	3	0	1
gene1087	0	0	0	1	0	1	0	0
gene1088	8	5	3	16	4	3	6	10
gene1089	8	7	6	17	10	5	5	8
gene109	191	209	228	400	134	163	159	128
gene1090	7	3	9	13	2	4	3	2
gene1091	9	5	9	21	7	2	4	12
gene1092	2	1	1	4	3	0	0	0
gene1093	11	3	5	26	11	2	2	4
gene1094	3	0	4	11	8	2	3	4
gene1095	91	31	69	126	51	19	39	77
gene1096	67	35	54	103	38	20	24	39
gene1097	1256	1426	1191	2478	1168	1351	844	752
