genename	bnum	geneid	isNonUnique
rbfA	b3167	gene3227	FALSE
xapA	b2407	gene2465	FALSE
xapB	b2406	gene2464	FALSE
yfjK	b2627	gene2692	FALSE
rhtC	b3823	gene3903	FALSE
abrB	b0715	gene728	FALSE
xapR	b2405	gene2463	FALSE
speF	b0693	gene704	FALSE
speG	b1584	gene1621	FALSE
speD	b0120	gene117	FALSE
speE	b0121	gene118	FALSE
speB	b2937	gene3000	FALSE
speC	b2965	gene3027	FALSE
speA	b2938	gene3001	FALSE
ybcL	b0545	gene551	FALSE
ybcM	b0546	gene552	FALSE
ybcN	b0547	gene554	FALSE
ybcO	b0549	gene556	FALSE
ybcH	b0567	gene579	FALSE
ybcI	b0527	gene532	FALSE
ybcJ	b0528	gene533	FALSE
ybcK	b0544	gene550	FALSE
frdA	b4154	gene4243	FALSE
ybcF	b0521	gene526	FALSE
frdC	b4152	gene4241	FALSE
frdD	b4151	gene4240	FALSE
yeaW	b1802	gene1846	FALSE
hchA	b1967	gene2012	FALSE
ytfF	b4210	gene4300	FALSE
ybcY	b0562	gene573	FALSE
pgpC	b2560	gene2624	FALSE
pgpB	b1278	gene1303	FALSE
pgpA	b0418	gene423	FALSE
ybcW	b0559	gene568	FALSE
yhbO	b3153	gene3211	FALSE
kbaY	b3137	gene3195	FALSE
kbaZ	b3132	gene3190	FALSE
tdcD	b3115	gene3174	FALSE
ucpA	b2426	gene2485	FALSE
metE	b3829	gene3909	FALSE
rrfH	b0205	gene203	FALSE
basR	b4113	gene4198	FALSE
ytfL	b4218	gene4308	FALSE
yhgE	b3402	gene3463	FALSE
ypeA	b2434	gene2493	FALSE
ypeB	b4546	gene2469	FALSE
ypeC	b2390	gene2449	FALSE
rrfF	b3272	gene3333	FALSE
rrfG	b2588	gene2654	FALSE
rrfD	b3274	gene3335	FALSE
rrfE	b4010	gene4091	FALSE
cmk	b0910	gene924	FALSE
dinD	b3645	gene3723	FALSE
rtcA	b4475	gene3480	FALSE
yihX	b3885	gene3966	FALSE
ytfH	b4212	gene4302	FALSE
ytfK	b4217	gene4307	FALSE
upp	b2498	gene2559	FALSE
yhbE	b3184	gene3244	FALSE
bluF	b1163	gene1178	FALSE
tolR	b0738	gene751	FALSE
tolQ	b0737	gene750	FALSE
ydgU	b4601	gene1635	FALSE
ydgJ	b1624	gene1662	FALSE
ydgK	b1626	gene1665	FALSE
ydgH	b1604	gene1642	FALSE
caiT	b0040	gene39	FALSE
srlR	b2707	gene2766	FALSE
bluR	b1162	gene1177	FALSE
tolC	b3035	gene3093	FALSE
tolB	b0740	gene753	FALSE
tolA	b0739	gene752	FALSE
ydgA	b1614	gene1652	FALSE
xseB	b0422	gene427	FALSE
ydgD	b1598	gene1636	FALSE
entA	b0596	gene611	FALSE
cheW	b1887	gene1935	FALSE
entC	b0593	gene608	FALSE
entB	b0595	gene610	FALSE
entE	b0594	gene609	FALSE
entD	b0583	gene597	FALSE
nei	b0714	gene727	FALSE
entH	b0597	gene612	FALSE
ghrA	b1033	gene1047	FALSE
cheZ	b1881	gene1929	FALSE
cheY	b1882	gene1930	FALSE
yacC	b0122	gene119	FALSE
entS	b0591	gene606	FALSE
fecE	b4287	gene4373	FALSE
yacG	b0101	gene99	FALSE
fecC	b4289	gene4375	FALSE
cheA	b1888	gene1936	FALSE
yacH	b0117	gene114	FALSE
yfjM	b2629	gene2694	FALSE
yqeC	b2876	gene2938	FALSE
yacL	b0119	gene116	FALSE
rcsA	b1951	gene1997	FALSE
rcsB	b2217	gene2272	FALSE
rcsC	b2218	gene2273	FALSE
rcsD	b2216	gene2271	FALSE
rcsF	b0196	gene194	FALSE
zinT	b1973	gene2018	FALSE
uspA	b3495	gene3555	FALSE
uspB	b3494	gene3554	FALSE
uspC	b1895	gene1943	FALSE
uspD	b3923	gene4003	FALSE
uspE	b1333	gene1362	FALSE
uspF	b1376	gene1407	FALSE
uspG	b0607	gene623	FALSE
gltX	b2400	gene2458	FALSE
glk	b2388	gene2447	FALSE
grcA	b2579	gene2645	FALSE
sugE	b4148	gene4237	FALSE
gltP	b4077	gene4161	FALSE
gltS	b3653	gene3731	FALSE
gltU	b3757	gene3839	FALSE
yhbW	b3160	gene3218	FALSE
glf	b2036	gene2087	FALSE
gltV	b4008	gene4089	FALSE
insH1	b0259	gene263	TRUE
gpsA	b3608	gene3686	FALSE
gltK	b0653	gene667	FALSE
gltJ	b0654	gene668	FALSE
gltL	b0652	gene666	FALSE
cspH	b0989	gene1005	FALSE
cspI	b1552	gene1588	FALSE
gltA	b0720	gene733	FALSE
cspG	b0990	gene1006	FALSE
cspD	b0880	gene894	FALSE
cspE	b0623	gene638	FALSE
cspB	b1557	gene1594	FALSE
cspC	b1823	gene1867	FALSE
ycjG	b1325	gene1352	FALSE
maeA	b1479	gene1513	FALSE
yfeC	b2398	gene2456	FALSE
yfeA	b2395	gene2453	FALSE
apaH	b0049	gene48	FALSE
ycjD	b1289	gene1316	FALSE
yfeD	b2399	gene2457	FALSE
ryfD	b4609	gene2659	FALSE
yhgF	b3407	gene3468	FALSE
yfeK	b2419	gene2478	FALSE
yfeH	b2410	gene2468	FALSE
apaG	b0050	gene49	FALSE
yfeN	b2408	gene2466	FALSE
yfcJ	b2322	gene2378	FALSE
yhgA	b3411	gene3472	FALSE
yfeR	b2409	gene2467	FALSE
yfeS	b2420	gene2479	FALSE
glgC	b3430	gene3490	FALSE
asnT	b1977	gene2022	FALSE
yfeW	b2430	gene2489	FALSE
yfeZ	b2433	gene2492	FALSE
ryfA	b4440	gene2583	FALSE
