geneID,geneName,bNum,Differentially expressed between 0% and 100% RpoS,Differentially expressed between 26% and 100% RpoS,Differentially expressed between 0% and 26% RpoS,Direction of regulation,sensitivity,,,
gene0,thrL,b0001,FALSE,FALSE,FALSE,nsRegulation,nsRegulation,,,#Details
gene1,thrA,b0002,FALSE,FALSE,FALSE,nsRegulation,nsRegulation,,,geneID = id taken from the gff file. Used because there are features that lack both geneNames and bNums
gene2,thrB,b0003,FALSE,FALSE,FALSE,nsRegulation,nsRegulation,,,geneName = from the gff file
gene3,thrC,b0004,FALSE,FALSE,FALSE,nsRegulation,nsRegulation,,,bNum =  b number from the gff file
gene4,yaaX,b0005,FALSE,FALSE,FALSE,nsRegulation,nsRegulation,,,Differential expression columns reports the if the FDR adjusted p-value is less than 0.0167
gene5,yaaA,b0006,FALSE,FALSE,FALSE,nsRegulation,nsRegulation,,,"Direction of regulation reports if the gene is positively or negatively regulated by RpoS, or not significantly regulated"
gene6,yaaJ,b0007,FALSE,FALSE,FALSE,nsRegulation,nsRegulation,,,"Sensitivity reports if the gene is linear, sensitive, insensitive, or not significantly regulated by RpoS."
gene7,talB,b0008,FALSE,FALSE,FALSE,nsRegulation,nsRegulation,,,
gene8,mog,b0009,TRUE,FALSE,FALSE,negRegulation,linear,,,
gene9,satP,b0010,FALSE,FALSE,FALSE,nsRegulation,nsRegulation,,,
gene10,yaaW,b0011,FALSE,FALSE,FALSE,nsRegulation,nsRegulation,,,
gene11,yaaI,b0013,FALSE,FALSE,FALSE,nsRegulation,nsRegulation,,,
gene12,dnaK,b0014,TRUE,FALSE,FALSE,posRegulation,linear,,,
gene13,dnaJ,b0015,TRUE,FALSE,FALSE,posRegulation,linear,,,
gene14,insL1,b0016,FALSE,FALSE,FALSE,nsRegulation,nsRegulation,,,
gene15,mokC,b0018,FALSE,FALSE,FALSE,nsRegulation,nsRegulation,,,
gene18,nhaA,b0019,TRUE,TRUE,TRUE,posRegulation,linear,,,
gene19,nhaR,b0020,TRUE,TRUE,FALSE,posRegulation,linear,,,
gene20,insB1,b0021,FALSE,FALSE,FALSE,nsRegulation,nsRegulation,,,
gene21,insA,b0022,FALSE,FALSE,FALSE,nsRegulation,nsRegulation,,,
