gene,WT1,WT2,F71Y1,F71Y2,R61K1,R61K2,R61H1,R61H2,null1,null2
BSU00010_dnaA_chromosome_replication_initiator_DnaA,6376,8682,7756,9785,4676,8684,4161,9004,4384,6756
BSU00020_dnaN_DNA_polymerase_III_subunit_beta,4033,6400,5470,6470,3006,6108,2598,5902,2659,4535
BSU00030_yaaA_RNA_binding_protein,1075,1816,1561,1662,750,1688,793,1808,757,1459
BSU00040_recF_recombination_protein_F,5400,8661,7443,7906,4159,8573,4379,8247,4412,7312
BSU00050_yaaB_hypothetical_protein,641,1045,814,1117,425,970,437,969,422,891
BSU00060_gyrB_DNA_gyrase_subunit_B,11391,12344,11106,11956,8576,11860,8368,12462,8715,10157
BSU00070_gyrA_DNA_gyrase_subunit_A,17374,23051,20981,22922,13153,21162,12294,22524,12245,17628
BSU00080_yaaC_hypothetical_protein,12,20,14,24,10,26,7,20,17,15
BSU00090_guaB_inosine_5'-monophosphate_dehydrogenase,32990,42404,29072,31289,14675,28162,10290,18064,7936,10371
BSU00100_dacA_D-alanyl-D-alanine_carboxypeptidase,13208,28177,22074,25142,10919,23351,9161,24268,9958,20054
BSU00110_yaaD_pyridoxal_biosynthesis_lyase_PdxS,9353,9554,12377,12362,9881,13691,9320,13896,10307,12115
BSU00120_yaaE_glutamine_amidotransferase_subunit_PdxT,5885,7064,7990,9209,5836,9562,5496,9534,6200,8691
BSU00130_serS_seryl-tRNA_synthetase,5107,7408,6571,6810,3728,6851,3449,7262,3900,5950
BSU00140_dck_deoxyadenosine/deoxycytidine_kinase,992,1941,1682,1766,812,1679,752,1709,712,1342
BSU00150_dgk_deoxyguanosine_kinase,1282,2180,1624,1805,916,1897,839,1721,831,1439
BSU00160_yaaH_spore_peptidoglycan_hydrolase,37,29,30,40,39,33,40,32,41,28
BSU00170_yaaI_isochorismatase,13,44,36,68,19,73,20,63,19,47
BSU00180_tadA_tRNA_specific_adenosine_deaminase,343,553,571,516,335,631,347,588,351,548
BSU00190_dnaX_DNA_polymerase_III_subunits_gamma_and_tau,5071,7899,6966,8721,3781,7933,3373,7839,3641,6267
BSU00200_yaaK_hypothetical_protein,1969,4295,4311,5110,1381,4086,1326,4634,1479,3309
BSU00210_recR_recombination_protein_RecR,1949,3509,2855,3395,1467,3125,1230,3084,1323,2289
BSU00220_yaaL_hypothetical_protein,388,1132,925,1211,257,1117,238,1038,248,793
BSU00230_bofA_inhibitor_of_the_pro-sigma(K)_processing_machinery,63,86,75,106,51,105,44,56,50,81
BSU00240_csfB_forespore-specific_protein,85,134,147,184,83,200,49,163,43,66
BSU00250_xpaC_phosphatase,912,1546,1237,1462,676,1444,639,1342,655,1112
BSU00260_yaaN_hypothetical_protein,1501,2897,2110,2672,1374,2803,1130,2553,1197,2150
BSU00270_yaaO_lysine_decarboxylase,2657,3556,2713,3417,2149,3495,2008,3176,1980,2410
BSU00280_tmk_thymidylate_kinase,1204,2414,1847,2394,985,2196,828,2109,800,1774
BSU00290_yaaQ_hypothetical_protein,967,1715,1452,1627,837,1723,724,1661,801,1376
BSU00300_yaaR_hypothetical_protein,1127,2504,1844,2438,825,2378,730,2291,806,1940
